iter	RMSE
0	12.38958935
1	10.57933833
2	9.274516002
3	8.249163164
4	7.500913824
5	6.951300297
6	6.54351434
7	6.279364403
8	6.075224712
9	5.881508353
10	5.760033403
11	5.661161533
12	5.598424833
13	5.488883119
14	5.412919221
15	5.346792823
16	5.286681332
17	5.238693724
18	5.182781082
19	5.147659933
20	5.131290731
21	5.107241626
22	5.089027493
23	5.066899686
24	5.048577514
25	5.02407918
26	5.001298228
27	4.980217397
28	4.95976008
29	4.929953782
30	4.904427557
31	4.87783017
32	4.857718115
33	4.808788753
34	4.788867198
35	4.770071759
36	4.748061501
37	4.72395421
38	4.686626891
39	4.666259753
40	4.646728079
41	4.642714002
42	4.60193487
43	4.596340619
44	4.551086622
45	4.531063178
46	4.520163824
47	4.487324391
48	4.454474725
49	4.442045785
50	4.440716218
51	4.420980273
52	4.398054259
53	4.346539177
54	4.316960763
55	4.294730452
56	4.270195125
57	4.249747559
58	4.239521419
59	4.236776438
60	4.236586066
61	4.229041887
62	4.198523567
63	4.178335811
64	4.154132037
65	4.146127441
66	4.124647027
67	4.093894219
68	4.068883082
69	4.057800232
70	4.044100188
71	4.021430713
72	4.000399484
73	3.989578704
74	3.968684629
75	3.936945342
76	3.922240187
77	3.901890031
78	3.894472308
79	3.884732033
80	3.856988132
81	3.84528613
82	3.823860537
83	3.821082335
84	3.812740701
85	3.798980009
86	3.79561114
87	3.784518049
88	3.767507483
89	3.75579737
90	3.745873624
91	3.72912046
92	3.71125329
93	3.704287163
94	3.692346522
95	3.667893733
96	3.664413308
97	3.642164293
98	3.617222215
99	3.607184953
