iter	Passed	Remaining
0	0	77
1	1	70
2	2	67
3	2	65
4	3	64
5	3	62
6	4	61
7	5	61
8	5	60
9	6	59
10	7	58
11	7	57
12	8	57
13	9	56
14	9	55
15	10	55
16	11	54
17	11	53
18	12	53
19	12	51
20	13	51
21	14	50
22	14	49
23	15	48
24	15	47
25	16	46
26	16	45
27	17	44
28	18	44
29	18	43
30	19	42
31	19	42
32	20	41
33	20	40
34	21	39
35	22	39
36	22	38
37	23	38
38	24	37
39	24	36
40	25	36
41	25	35
42	26	35
43	27	34
44	27	33
45	28	33
46	29	33
47	30	33
48	31	32
49	31	31
50	32	30
51	32	30
52	33	29
53	34	28
54	34	28
55	35	27
56	35	27
57	36	26
58	37	25
59	37	25
60	37	24
61	38	23
62	39	23
63	39	22
64	40	21
65	40	21
66	41	20
67	42	19
68	42	19
69	43	18
70	43	17
71	44	17
72	45	16
73	45	16
74	46	15
75	46	14
76	47	14
77	48	13
78	48	12
79	49	12
80	50	11
81	50	11
82	51	10
83	52	9
84	52	9
85	53	8
86	54	8
87	54	7
88	55	6
89	55	6
90	56	5
91	57	4
92	57	4
93	58	3
94	58	3
95	59	2
96	60	1
97	60	1
98	61	0
99	62	0
